folder,file,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
results/xgb_bag,Bagged_XGB_report.json,0.9710596503111638,0.9962473614260027,0.9834922649470037,115119.0,0.9626265247858812,0.7650051564111379,0.8525130248237818,14545.0,0.9703078726554788,0.9668430875485226,0.8806262589185703,0.9180026448853927,129664.0,0.9701136683056324,0.9703078726554788,0.9687997284866735,129664.0
results/tabtransformer,classification_report.json,0.9714059719201107,0.995662572459362,0.9833847139368219,24669.0,0.9572171131547381,0.7680461982675649,0.8522605909576362,3117.0,0.9701288418628086,0.9643115425374245,0.8818543853634635,0.917822652447229,27786.0,0.9698142828402985,0.9701288418628086,0.9686753678155335,27786.0
results/randomforest,classification_report.json,0.9708530805687203,0.9964733065791074,0.9834963692012243,24669.0,0.9647201946472019,0.7632338787295476,0.8522299838796346,3117.0,0.9703087885985748,0.9677866376079611,0.8798535926543275,0.9178631765404295,27786.0,0.9701651008157017,0.9703087885985748,0.9687710642617802,27786.0
results/secbert,classification_report.json,0.9605544955414509,1.0,0.9798804345667242,24668.0,0.0,0.0,0.0,1013.0,0.9605544955414509,0.48027724777072545,0.5,0.4899402172833621,25681.0,0.9226649389048912,0.9605544955414509,0.9412285565161775,25681.0
results/xgb_new,XGBoost_classification_report.json,0.9727222266275474,0.9945275446917183,0.983504038804594,24669.0,0.9473478939157566,0.779274943856272,0.8551311388839993,3117.0,0.9703807672928813,0.960035060271652,0.8869012442739952,0.9193175888442966,27786.0,0.9698757645580645,0.9703807672928813,0.9691033215710054,27786.0
results/lstm,classification_report.json,0.9709589474100122,0.9961490129312092,0.9833926927848253,24669.0,0.9616471538150989,0.7641963426371511,0.8516267429388631,3117.0,0.9701288418628086,0.9663030506125556,0.8801726777841801,0.9175097178618442,27786.0,0.9699143616245323,0.9701288418628086,0.9686113472989741,27786.0
results/lstm,LSTM_classification_report.json,0.9903250617333927,0.9916899752726094,0.9910070485295309,24669.0,0.7906026557711952,0.7640671273445212,0.7771084337349398,1013.0,0.9827116268203411,0.890463858752294,0.8778785513085653,0.8840577411322353,25682.0,0.9824472174362312,0.9827116268203411,0.9825700382971924,25682.0
results/mlp,classification_report.json,0.9890317396544797,0.9978920912886619,0.9934421598498759,24669.0,0.9343434343434344,0.7305034550839091,0.8199445983379502,1013.0,0.9873452223347091,0.961687586998957,0.8641977731862855,0.9066933790939131,25682.0,0.9868746158603792,0.9873452223347091,0.9865987274921321,25682.0
results/lstm_bag,Bagged_LSTM_report.json,0.9723923514071406,0.994371042139004,0.9832588902250472,115119.0,0.945742275810098,0.7765555173599175,0.8528390214436726,14545.0,0.9699376850937809,0.9590673136086193,0.8854632797494607,0.9180489558343599,129664.0,0.9694028913445251,0.9699376850937809,0.9686291009895994,129664.0
results/lstm_new,LSTM_classification_report.json,0.9726108842998137,0.9946896915156674,0.9835263938434406,24669.0,0.9487680876026594,0.7783124799486686,0.8551286570320762,3117.0,0.9704167566400346,0.9606894859512365,0.886501085732168,0.9193275254377584,27786.0,0.9699362280950692,0.9704167566400346,0.969122890437372,27786.0
results/decisiontree,classification_report.json,0.9708542316654161,0.9965138432850946,0.9835167033406681,24669.0,0.9651115618661258,0.7632338787295476,0.8523826585453242,3117.0,0.970344777945728,0.9679828967657709,0.8798738610073211,0.9179496809429961,27786.0,0.9702100258868086,0.970344777945728,0.968806244201998,27786.0
results/xgboost,classification_report.json,0.9707798617966437,0.9965949166970692,0.9835180221626595,24669.0,0.9658675335229582,0.7625922361244787,0.8522768017210469,3117.0,0.970344777945728,0.9683236976598009,0.879593576410774,0.9178974119418533,27786.0,0.9702288027298805,0.970344777945728,0.9687955401891294,27786.0
results/bilstm,classification_report.json,0.9708914254117461,0.9964733065791074,0.9835160438505242,24669.0,0.9647344953384678,0.7635547000320821,0.8524355300859598,3117.0,0.970344777945728,0.9678129603751069,0.8800140033055948,0.917975786968242,27786.0,0.9702007484147546,0.970344777945728,0.9688115897583862,27786.0
results/xgb,XGBoost_classification_report.json,0.9900104728913236,0.9963111597551583,0.9931508233154864,24669.0,0.8936915887850467,0.7551826258637709,0.8186195826645265,1013.0,0.9868000934506659,0.9418510308381851,0.8757468928094646,0.9058852029900064,25682.0,0.9862112738569938,0.9868000934506659,0.9862666185503036,25682.0
results/combined,Bagged_Ensemble_report.json,0.9710741352301113,0.9961778681190768,0.9834658296671727,115119.0,0.9619673264759271,0.7651426607081472,0.8523397411350233,14545.0,0.9702615992102666,0.9665207308530193,0.880660264413612,0.9179027854010979,129664.0,0.9700525831159577,0.9702615992102666,0.9687568205536167,129664.0
results/ensemble,Ensemble_classification_report.json,0.972574508560558,0.9947707649276419,0.9835474238993207,24669.0,0.9494909945184025,0.7779916586461341,0.8552283547875155,3117.0,0.9704527459871878,0.9610327515394803,0.886381211786888,0.9193878893434181,27786.0,0.9699850277691741,0.9704527459871878,0.9691527453410002,27786.0
results_full_features/xgb_bag,Bagged_XGB_report.json,0.970815891319801,0.9965138432850946,0.9834970294653037,24669.0,0.9650974025974026,0.7629130574270132,0.8521770292062354,3117.0,0.9703087885985748,0.9679566469586018,0.879713450356054,0.9178370293357696,27786.0,0.9701743981452629,0.9703087885985748,0.9687657100667751,27786.0
results_full_features/lstm_bag,Bagged_LSTM_report.json,0.9403445909887932,1.0,0.9692552501817182,24669.0,1.0,0.4979146615335258,0.6648104519168987,3117.0,0.9436766717051752,0.9701722954943965,0.748957330766763,0.8170328510493085,27786.0,0.9470366628914755,0.9436766717051752,0.9351029995450147,27786.0
results_full_features/combined,Bagged_Ensemble_report.json,0.9682508458572665,0.9976488710527383,0.9827300497134985,24669.0,0.9755067567567568,0.7410972088546679,0.8422971741112124,3117.0,0.9688692147124451,0.9718788013070117,0.8693730399537031,0.9125136119123555,27786.0,0.9690648051991549,0.9688692147124451,0.966976458939284,27786.0
results_v7/lstm_bag,Bagged_LSTM_report.json,0.9708519293810972,0.9964327698731201,0.9834760342482196,24669.0,0.9643291447101743,0.7632338787295476,0.8520773638968482,3117.0,0.9702727992514216,0.9675905370456357,0.8798333243013339,0.9177766990725339,27786.0,0.9701202112561687,0.9702727992514216,0.9687358897335279,27786.0
